Time,Theta1_planned,Theta1_current,Theta2_planned,Theta2_current,h3_planned,h3_current,Theta4_planned,Theta4_current,x,y
3.36,93.2831,90.6113,-17.7344,-24.1215,-174.978,-174.319,57.3209,49.3208,-88.5739,307.607
3.4,93.4803,90.7697,-17.1926,-23.6875,-175.042,-174.371,57.9802,49.8491,-106.523,291.771
3.44,93.6763,90.927,-16.652,-23.2545,-175.107,-174.423,58.6376,50.3758,-121.534,273.399
3.48,93.871,91.0833,-16.1126,-22.8224,-175.172,-174.475,59.2929,50.901,-133.274,253.027
3.52,94.0645,91.3114,-15.5743,-22.189,-175.237,-174.551,59.9462,51.6701,-144.115,220.662
3.56,94.2566,91.4656,-15.0372,-21.7588,-175.302,-174.603,60.5976,52.1921,-146.958,197.819
3.6,94.4475,91.6189,-14.5013,-21.3295,-175.367,-174.655,61.247,52.7125,-146.111,175.043
3.64,94.6371,91.7711,-13.9666,-20.9013,-175.433,-174.707,61.8944,53.2312,-141.679,152.925
3.68,94.8255,91.9908,-13.433,-20.2805,-175.498,-174.783,62.5398,53.9825,-129.248,123.02
3.72,95.0126,92.2114,-12.9007,-19.6541,-175.563,-174.86,63.1832,54.7398,-110.24,96.8064
3.76,95.1984,92.3606,-12.3695,-19.2286,-175.629,-174.913,63.8246,55.2538,-94.1956,81.9639
3.8,95.3829,92.5088,-11.8395,-18.8039,-175.695,-174.965,64.4641,55.7664,-76.1641,69.9516
3.84,95.5662,92.6513,-11.3106,-18.3936,-175.761,-175.016,65.1015,56.2612,-57.2719,61.2406
3.88,95.7482,92.7975,-10.7829,-17.9707,-175.827,-175.069,65.737,56.7707,-36.7696,55.4073
3.92,95.9289,92.9426,-10.2565,-17.5491,-175.893,-175.122,66.3705,57.2782,-15.7866,52.8604
3.96,96.1084,93.0867,-9.73114,-17.1284,-175.959,-175.175,67.002,57.7843,5.19424,53.5871
4,96.2866,93.2298,-9.207,-16.7083,-176.025,-175.228,67.6315,58.289,25.6868,57.5077
4.04,96.4635,93.372,-8.68405,-16.2892,-176.092,-175.281,68.2591,58.7921,45.22,64.469
4.08,96.6392,93.5129,-8.16226,-15.8715,-176.158,-175.334,68.8846,59.2932,63.3533,74.244
4.12,96.8135,93.7142,-7.64166,-15.272,-176.225,-175.41,69.5082,60.0115,86.2892,92.7151
4.16,96.9866,93.8533,-7.12223,-14.8559,-176.292,-175.464,70.1297,60.5097,99.6114,108.193
4.2,97.1585,93.9912,-6.60398,-14.4408,-176.358,-175.517,70.7493,61.0063,110.456,125.383
4.24,97.329,94.1283,-6.0869,-14.0265,-176.425,-175.571,71.3669,61.5013,118.641,143.896
4.28,97.4983,94.3237,-5.57101,-13.4325,-176.492,-175.648,71.9825,62.2105,125.518,172.028
4.32,97.6664,94.4587,-5.05629,-13.0201,-176.56,-175.702,72.5962,62.7023,126.822,192.087
4.36,97.8331,94.6512,-4.54275,-12.4287,-176.627,-175.779,73.2078,63.407,123.725,220.687
4.4,97.9986,94.7841,-4.03038,-12.0183,-176.694,-175.833,73.8175,63.8956,118.231,239.875
4.44,98.1628,94.916,-3.51919,-11.6087,-176.762,-175.887,74.4252,64.3827,110.17,258.042
4.48,98.3257,95.047,-3.00918,-11.2001,-176.829,-175.941,75.0308,64.8683,99.7451,274.857
4.52,98.4874,95.1768,-2.50035,-10.7925,-176.897,-175.995,75.6345,65.3521,87.2021,290.025
4.56,98.6478,95.3057,-1.99269,-10.3858,-176.965,-176.049,76.2363,65.8343,72.8136,303.303
4.6,98.8069,95.4335,-1.48621,-9.98005,-177.033,-176.104,76.836,66.3151,56.8725,314.491
4.64,98.9648,95.5565,-0.980906,-9.5875,-177.101,-176.156,77.4337,66.7797,40.2375,323.192
4.68,99.1214,95.7372,-0.476779,-9.00745,-177.169,-176.235,78.0295,67.4655,14.066,332.001
4.72,99.2767,95.862,0.0261698,-8.60449,-177.238,-176.289,78.6233,67.9415,-4.78552,335.172
4.76,99.4308,95.9858,0.527942,-8.20237,-177.306,-176.344,79.2151,68.4159,-23.754,335.896
4.8,99.5835,96.1085,1.02854,-7.80146,-177.374,-176.399,79.8049,68.8885,-42.5031,334.217
4.84,99.735,96.2303,1.52796,-7.40138,-177.443,-176.454,80.3927,69.3597,-60.7475,330.219
4.88,99.8853,96.4038,2.0262,-6.82763,-177.512,-176.533,80.9785,70.0346,-85.5593,320.639
4.92,100.034,96.5759,2.52326,-6.25508,-177.581,-176.612,81.5623,70.7075,-108.06,306.919
4.96,100.182,96.6946,3.01915,-5.85779,-177.65,-176.667,82.1442,71.1739,-121.97,295.238
5,100.328,96.8123,3.51386,-5.46151,-177.719,-176.722,82.7241,71.6386,-134.218,282.073
5.04,100.474,96.9289,4.00739,-5.06603,-177.788,-176.777,83.302,72.102,-144.669,267.657
5.08,100.617,97.0446,4.49975,-4.6716,-177.857,-176.833,83.8779,72.5635,-153.205,252.249
5.12,100.76,97.1592,4.99093,-4.27822,-177.927,-176.888,84.4518,73.0234,-159.754,236.104
5.16,100.901,97.2728,5.48093,-3.88566,-177.996,-176.944,85.0237,73.4819,-164.278,219.47
5.2,101.041,97.4346,5.96975,-3.32272,-178.066,-177.024,85.5936,74.1386,-167.22,195.171
5.24,101.18,97.5985,6.4574,-2.74888,-178.135,-177.106,86.1616,74.8073,-165.945,170.503
5.28,101.318,97.7091,6.94387,-2.35912,-178.205,-177.162,86.7276,75.261,-162.686,154.197
5.32,101.454,97.8186,7.42917,-1.97023,-178.275,-177.218,87.2916,75.7132,-157.6,138.561
5.36,101.589,97.9271,7.91328,-1.58254,-178.345,-177.274,87.8536,76.1635,-150.815,123.801
5.4,101.723,98.0346,8.39622,-1.19564,-178.415,-177.33,88.4136,76.6124,-142.464,110.075
5.44,101.855,98.1378,8.87798,-0.821613,-178.486,-177.384,88.9716,77.0459,-133.029,97.9087
5.48,101.986,98.2894,9.35857,-0.268288,-178.556,-177.465,89.5276,77.6864,-116.901,82.1443
5.52,102.116,98.3906,9.83798,0.103831,-178.627,-177.52,90.0817,78.1167,-104.816,73.1927
5.56,102.245,98.494,10.3162,0.48701,-178.697,-177.576,90.6338,78.5593,-91.5429,65.4732
5.6,102.372,98.5965,10.7933,0.869314,-178.768,-177.633,91.1838,79.0004,-77.6413,59.3464
5.64,102.498,98.6978,11.2691,1.25045,-178.839,-177.689,91.7319,79.4396,-63.3106,54.8441
5.68,102.623,98.7983,11.7438,1.63084,-178.91,-177.746,92.2781,79.8775,-48.7197,51.9679
5.72,102.747,98.8945,12.2174,1.99833,-178.981,-177.801,92.8222,80.3,-34.5196,50.7223
5.76,102.869,98.9898,12.6897,2.36494,-179.052,-177.856,93.3643,80.7211,-20.4102,50.9615
5.8,102.99,99.1327,13.1609,2.91929,-179.123,-177.94,93.9045,81.3569,0.525547,54.0606
5.84,103.11,99.2712,13.6309,3.46059,-179.195,-178.022,94.4426,81.9771,20.1233,60.136
5.88,103.228,99.3665,14.0997,3.83626,-179.266,-178.079,94.9788,82.407,32.9926,66.0111
5.92,103.345,99.4608,14.5673,4.21089,-179.338,-178.136,95.513,82.8352,45.0678,73.115
5.96,103.461,99.5541,15.0338,4.58462,-179.41,-178.194,96.0452,83.2619,56.2502,81.3394
6,103.576,99.6867,15.4991,5.12053,-179.481,-178.276,96.5755,83.873,70.614,94.9197
6.04,103.689,99.7779,15.9632,5.49241,-179.553,-178.334,97.1037,84.2965,79.309,105.424
6.08,103.801,99.8682,16.4261,5.86324,-179.625,-178.392,97.6299,84.7183,86.8545,116.629
6.12,103.912,99.9573,16.8879,6.23317,-179.698,-178.449,98.1542,85.1386,93.2152,128.408
6.16,104.022,100.046,17.3484,6.60221,-179.77,-178.507,98.6765,85.5573,98.3666,140.636
6.2,104.13,100.133,17.8078,6.97043,-179.842,-178.565,99.1968,85.9746,102.298,153.186
6.24,104.237,100.219,18.2661,7.33749,-179.915,-178.623,99.7151,86.3901,105.008,165.923
6.28,104.343,100.341,18.7231,7.8638,-179.987,-178.706,100.231,86.985,106.8,184.385
6.32,104.447,100.425,19.179,8.22907,-180.06,-178.764,100.746,87.3974,106.611,197.18
6.36,104.551,100.508,19.6337,8.5934,-180.133,-178.823,101.258,87.8082,105.283,209.785
6.4,104.653,100.591,20.0872,8.95683,-180.206,-178.881,101.768,88.2175,102.863,222.105
6.44,104.753,100.672,20.5395,9.31918,-180.279,-178.939,102.277,88.625,99.4074,234.042
6.48,104.853,100.752,20.9907,9.68073,-180.352,-178.998,102.783,89.0311,94.9752,245.524
6.52,104.951,100.831,21.4407,10.0413,-180.425,-179.057,103.288,89.4355,89.6347,256.474
6.56,105.048,100.943,21.8895,10.5582,-180.499,-179.141,103.79,90.0145,80.484,271.188
6.6,105.143,101.02,22.3371,10.9169,-180.572,-179.2,104.291,90.4158,73.1868,280.636
6.64,105.238,101.096,22.7836,11.2744,-180.646,-179.259,104.789,90.8153,65.2348,289.354
6.68,105.331,101.171,23.2288,11.6313,-180.72,-179.318,105.285,91.2134,56.6964,297.317
6.72,105.422,101.245,23.6729,11.9871,-180.793,-179.377,105.78,91.6098,47.6575,304.493
6.75999,105.513,101.318,24.1158,12.3419,-180.867,-179.436,106.272,92.0047,38.1954,310.863
6.79999,105.602,101.39,24.5576,12.696,-180.942,-179.495,106.763,92.3981,28.3836,316.417
6.83999,105.69,101.492,24.9982,13.2034,-181.016,-179.58,107.251,92.9611,13.7885,322.975
6.87999,105.777,101.561,25.4375,13.5555,-181.09,-179.64,107.738,93.3512,3.38518,326.545
6.91999,105.862,101.63,25.8758,13.907,-181.164,-179.699,108.223,93.7403,-7.13024,329.302
6.95999,105.947,101.698,26.3128,14.2568,-181.239,-179.759,108.705,94.1267,-17.6516,331.253
